"StichtagDatJahr","DatenstandCd","HundenameText","GebDatHundJahr","SexHundCd","SexHundLang","SexHundSort","AnzHunde"
2015,"D","(Karl) Kaiser Karl vom Edersee",2013,"1","männlich",1,1
2015,"D","?",2009,"2","weiblich",2,1
2015,"D","?",2010,"2","weiblich",2,2
2015,"D","?",2011,"1","männlich",1,1
2015,"D","A-Diana",2006,"2","weiblich",2,1
2015,"D","A-nan",2009,"1","männlich",1,1
2015,"D","Aaliyah",2005,"2","weiblich",2,1
2015,"D","Aaliyah",2011,"2","weiblich",2,1
2015,"D","Aaran vom Blauort",2010,"1","männlich",1,1
2015,"D","Aaron",2005,"1","männlich",1,2
2015,"D","Aaron",2011,"1","männlich",1,2
2015,"D","Abba",2011,"2","weiblich",2,1
2015,"D","Abbey",2011,"2","weiblich",2,1
2015,"D","Abby",2010,"2","weiblich",2,1
2015,"D","Abby (Abbygail)",2013,"2","weiblich",2,1
2015,"D","Abenaki Cayla",2014,"2","weiblich",2,1
2015,"D","Abenaki Cibor",2014,"1","männlich",1,1
2015,"D","Abisko vom Nünbrunnental",2014,"1","männlich",1,1
2015,"D","Abraxa",2007,"2","weiblich",2,1
2015,"D","Abraxas",2004,"1","männlich",1,1
2015,"D","Achat",2005,"1","männlich",1,1
2015,"D","Achilles",2004,"1","männlich",1,1
2015,"D","Acoma",2014,"2","weiblich",2,1
2015,"D","Acqua",2005,"1","männlich",1,1
2015,"D","Addison",2009,"2","weiblich",2,1
2015,"D","Adela",2004,"2","weiblich",2,1
2015,"D","Adonis",2013,"1","männlich",1,1
2015,"D","Affra vom Wiler-Berg",2012,"2","weiblich",2,1
2015,"D","Afra",2003,"2","weiblich",2,1
2015,"D","Agata",2002,"2","weiblich",2,1
2015,"D","Agathe / Stormy Heaven's Aila",2011,"2","weiblich",2,1
2015,"D","Ahab v. Pirateprincessbulldogs",2015,"1","männlich",1,1
2015,"D","Aicha",2003,"2","weiblich",2,1
2015,"D","Aichan",2003,"1","männlich",1,1
2015,"D","Aicko",2004,"1","männlich",1,1
2015,"D","Aico v. Lindenberg",2009,"1","männlich",1,1
2015,"D","Aida",2009,"2","weiblich",2,1
2015,"D","Aika",2002,"2","weiblich",2,1
2015,"D","Aika",2003,"2","weiblich",2,1
2015,"D","Aika",2004,"2","weiblich",2,1
2015,"D","Aiko",2003,"1","männlich",1,1
2015,"D","Aiko",2004,"1","männlich",1,2
2015,"D","Aiko",2007,"2","weiblich",2,1
2015,"D","Aiko",2010,"1","männlich",1,1
2015,"D","Aiko",2012,"1","männlich",1,1
2015,"D","Aila",2008,"2","weiblich",2,1
2015,"D","Aira",2004,"2","weiblich",2,1
2015,"D","Aischa",2000,"2","weiblich",2,1
2015,"D","Aischa",2003,"2","weiblich",2,1
2015,"D","Aischa",2004,"2","weiblich",2,2
2015,"D","Aischa",2007,"2","weiblich",2,1
2015,"D","Aischa",2008,"2","weiblich",2,1
2015,"D","Aisha",2001,"2","weiblich",2,1
2015,"D","Aisha",2004,"2","weiblich",2,3
2015,"D","Aisha",2006,"2","weiblich",2,1
2015,"D","Aisha",2008,"2","weiblich",2,1
2015,"D","Aisha",2010,"2","weiblich",2,1
2015,"D","Aisha",2013,"2","weiblich",2,1
2015,"D","Aisha Kianga",2012,"2","weiblich",2,1
2015,"D","Aiso",2000,"2","weiblich",2,1
2015,"D","Ajani",2014,"1","männlich",1,1
2015,"D","Ajax",2005,"1","männlich",1,1
2015,"D","Ajla",2013,"2","weiblich",2,1
2015,"D","Ajoya",2004,"2","weiblich",2,1
2015,"D","Ajscha",2014,"2","weiblich",2,1
2015,"D","Akando-Abucco v. Ritters Glück",2014,"1","männlich",1,1
2015,"D","Akeyaa",2007,"2","weiblich",2,1
2015,"D","Aki",2010,"1","männlich",1,1
2015,"D","Aki",2014,"2","weiblich",2,1
2015,"D","Akido",2010,"1","männlich",1,1
2015,"D","Akina",2014,"2","weiblich",2,1
2015,"D","Akira",2001,"1","männlich",1,1
2015,"D","Akira",2004,"2","weiblich",2,1
2015,"D","Akira Sambesi",2008,"2","weiblich",2,1
2015,"D","Akira-Vidi",2015,"2","weiblich",2,1
2015,"D","Akiro",2013,"1","männlich",1,1
2015,"D","Akosambo's Black Massai Ulani",2012,"2","weiblich",2,1
2015,"D","Aku",2001,"1","männlich",1,1
2015,"D","Aku Kji Shen",2009,"1","männlich",1,1
2015,"D","Akuma",2012,"2","weiblich",2,1
2015,"D","Aky",2013,"1","männlich",1,1
2015,"D","Ala",2014,"1","männlich",1,1
2015,"D","Alan",2009,"1","männlich",1,1
2015,"D","Alaska",2008,"2","weiblich",2,1
2015,"D","Alba",2001,"2","weiblich",2,1
2015,"D","Alba",2007,"2","weiblich",2,1
2015,"D","Alba",2012,"2","weiblich",2,1
2015,"D","Alebrije",2009,"1","männlich",1,1
2015,"D","Alec",2003,"1","männlich",1,1
2015,"D","Alegria",2009,"2","weiblich",2,1
2015,"D","Alek",2014,"1","männlich",1,1
2015,"D","Alessia",2005,"2","weiblich",2,1
2015,"D","Alex",2003,"1","männlich",1,1
2015,"D","Alex",2004,"1","männlich",1,1
2015,"D","Alex",2006,"1","männlich",1,2
2015,"D","Alex",2007,"1","männlich",1,1
2015,"D","Alex",2008,"1","männlich",1,1
2015,"D","Alex",2012,"1","männlich",1,1
2015,"D","Alex von Sareni",2011,"1","männlich",1,1
2015,"D","Alf vom Ricken",2015,"1","männlich",1,1
2015,"D","Alfa (Pia)",2001,"2","weiblich",2,1
2015,"D","Alfie",2009,"1","männlich",1,1
2015,"D","Algarvio (Casa Rastys Amigo)",2014,"1","männlich",1,1
2015,"D","Ali",2015,"1","männlich",1,1
2015,"D","Alia",2010,"2","weiblich",2,1
2015,"D","Aliah",2012,"2","weiblich",2,1
2015,"D","Alibaba",2006,"1","männlich",1,1
2015,"D","Alice",2008,"2","weiblich",2,1
2015,"D","Alice",2009,"2","weiblich",2,1
2015,"D","Alice",2010,"2","weiblich",2,1
2015,"D","Alicia",2008,"2","weiblich",2,1
2015,"D","Alida",2006,"2","weiblich",2,1
2015,"D","Alin",2010,"2","weiblich",2,1
2015,"D","Alina",2011,"2","weiblich",2,1
2015,"D","Aline",2010,"2","weiblich",2,1
2015,"D","Alinghi",2006,"2","weiblich",2,1
2015,"D","Alinghi",2009,"2","weiblich",2,1
2015,"D","Alino",2006,"2","weiblich",2,1
2015,"D","Alisha",2006,"2","weiblich",2,1
2015,"D","Alisha",2014,"2","weiblich",2,1
2015,"D","Alisha v. Sertel",2010,"2","weiblich",2,1
2015,"D","Aliz",2007,"2","weiblich",2,1
2015,"D","Aljoscha",2013,"1","männlich",1,1
2015,"D","Allegra",2007,"2","weiblich",2,2
2015,"D","Allegra",2010,"2","weiblich",2,1
2015,"D","Allegra",2013,"2","weiblich",2,1
2015,"D","Allwut",2009,"2","weiblich",2,1
2015,"D","Ally",2013,"2","weiblich",2,1
2015,"D","Alma",2006,"2","weiblich",2,1
2015,"D","Alma",2008,"2","weiblich",2,1
2015,"D","Alma (Sanel)",2012,"2","weiblich",2,1
2015,"D","Alpha",2005,"1","männlich",1,1
2015,"D","Alpha",2011,"2","weiblich",2,1
2015,"D","Alusha",2014,"2","weiblich",2,1
2015,"D","Alvin",2005,"1","männlich",1,1
2015,"D","Alvin",2013,"1","männlich",1,1
2015,"D","Alwin Chamvik",2014,"1","männlich",1,1
2015,"D","Aly von den Sarazenentürmen",2012,"1","männlich",1,1
2015,"D","Ama",2013,"2","weiblich",2,1
2015,"D","Amala",2003,"2","weiblich",2,1
2015,"D","Amalie",2002,"2","weiblich",2,1
2015,"D","Amanda",1999,"2","weiblich",2,1
2015,"D","Amandob's Lady Arya",2015,"2","weiblich",2,1
2015,"D","Amar",2014,"1","männlich",1,1
2015,"D","Amara",2006,"2","weiblich",2,1
2015,"D","Amara",2007,"2","weiblich",2,1
2015,"D","Amara (Aline)",2014,"2","weiblich",2,1
2015,"D","Amazing Adel. fr.Sands.(Bonita",2007,"2","weiblich",2,1
2015,"D","Amazing Louis",2014,"1","männlich",1,1
2015,"D","Amber",2013,"2","weiblich",2,1
2015,"D","Amber (Peggy)",2013,"2","weiblich",2,1
2015,"D","Ameli",2012,"2","weiblich",2,1
2015,"D","Amelia",2012,"2","weiblich",2,1
2015,"D","Amelie (Anneli)",2006,"2","weiblich",2,1
2015,"D","Amia (Thaikru)",2006,"2","weiblich",2,1
2015,"D","Amico",2001,"1","männlich",1,1
2015,"D","Amie",2004,"2","weiblich",2,1
2015,"D","Amigo",2000,"1","männlich",1,1
2015,"D","Amigo",2003,"1","männlich",1,1
2015,"D","Amigo",2008,"1","männlich",1,1
2015,"D","Amigo",2011,"1","männlich",1,2
2015,"D","Amil",2012,"1","männlich",1,1
2015,"D","Amina",2005,"2","weiblich",2,1
2015,"D","Amira",2008,"2","weiblich",2,1
2015,"D","Amira",2009,"2","weiblich",2,2
2015,"D","Amira",2010,"2","weiblich",2,1
2015,"D","Amira",2013,"2","weiblich",2,1
2015,"D","Amira",2014,"2","weiblich",2,2
2015,"D","Amiro",2011,"1","männlich",1,1
2015,"D","Amo (Zorro)",2011,"1","männlich",1,1
2015,"D","Amok",2004,"1","männlich",1,1
2015,"D","Amon",2002,"1","männlich",1,1
2015,"D","Amor",2004,"1","männlich",1,1
2015,"D","Amor",2005,"1","männlich",1,1
2015,"D","Amor",2009,"1","männlich",1,1
2015,"D","Amor",2011,"1","männlich",1,1
2015,"D","Amor",2012,"1","männlich",1,1
2015,"D","Amore",2010,"2","weiblich",2,1
2015,"D","Amore mio",2010,"1","männlich",1,1
2015,"D","Amos",2012,"1","männlich",1,1
2015,"D","Amos",2015,"1","männlich",1,1
2015,"D","Amos (Strolchi)",2006,"1","männlich",1,1
2015,"D","Amour",2010,"1","männlich",1,1
2015,"D","Amour",2012,"1","männlich",1,1
2015,"D","Amun (Aris)",2006,"1","männlich",1,1
2015,"D","Amun-Zefir",2006,"1","männlich",1,1
2015,"D","Amy",2005,"2","weiblich",2,2
2015,"D","Amy",2008,"2","weiblich",2,1
2015,"D","Amy",2010,"2","weiblich",2,3
2015,"D","Amy",2012,"2","weiblich",2,1
2015,"D","Amy",2014,"2","weiblich",2,2
2015,"D","Amy-Siu-Siu",2010,"2","weiblich",2,1
2015,"D","Anakin",2008,"1","männlich",1,1
2015,"D","Ancellotta",2013,"2","weiblich",2,1
2015,"D","Ando",2008,"1","männlich",1,1
2015,"D","Andora",2004,"2","weiblich",2,1
2015,"D","Andra",2002,"2","weiblich",2,1
2015,"D","Andra",2013,"2","weiblich",2,1
2015,"D","Andy",2005,"1","männlich",1,1
2015,"D","Ane",2010,"2","weiblich",2,1
2015,"D","Angel",2006,"2","weiblich",2,2
2015,"D","Angel",2008,"1","männlich",1,1
2015,"D","Angel",2008,"2","weiblich",2,1
2015,"D","Angel",2009,"1","männlich",1,1
2015,"D","Angel",2009,"2","weiblich",2,1
2015,"D","Angel",2010,"1","männlich",1,1
2015,"D","Angel",2014,"2","weiblich",2,1
2015,"D","Angel (Koko)",2012,"1","männlich",1,1
2015,"D","Angel von Matterand",2011,"1","männlich",1,1
2015,"D","Angelo",2012,"1","männlich",1,1
2015,"D","Angie",1999,"2","weiblich",2,1
2015,"D","Angie",2014,"2","weiblich",2,1
2015,"D","Angle",2009,"2","weiblich",2,1
2015,"D","Angus (Rowan)",2015,"1","männlich",1,1
2015,"D","Angélina",2013,"2","weiblich",2,1
2015,"D","Anik",2013,"2","weiblich",2,1
2015,"D","Anjo",2014,"1","männlich",1,1
2015,"D","Anna",2008,"2","weiblich",2,1
2015,"D","Anna",2013,"2","weiblich",2,1
2015,"D","Anouk",2014,"2","weiblich",2,1
2015,"D","Anouk (Quanti)",2013,"2","weiblich",2,1
2015,"D","Anouk vom Leukergrund",2012,"2","weiblich",2,1
2015,"D","Antares",2009,"1","männlich",1,1
